epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.14227,0.82624,2.98352,1.32437,0.00238,0.5,0.38987,0.2857,0.52545,2.99132,1.10634,3.334e-05,3.334e-05,3.334e-05
2,7.94038,0.67919,2.89642,1.23072,0.00246,0.5,0.48917,0.41042,0.46322,2.98948,1.07371,7.50984e-05,7.50984e-05,7.50984e-05
3,11.8264,0.495,2.57361,1.15256,0.00253,0.5,0.4975,0.39145,0.57637,2.97852,1.21596,0.000106955,0.000106955,0.000106955
4,15.5094,0.48748,2.09488,1.06406,0.00261,0.5,0.4975,0.39109,0.59352,2.89188,1.26023,0.000128909,0.000128909,0.000128909
5,19.2465,0.54998,1.818,1.14781,0.00273,0.5,0.4975,0.39772,0.62155,2.66957,1.214,0.000140962,0.000140962,0.000140962
6,23.4782,0.39877,1.37737,0.9208,0.00697,0.5,0.4975,0.42708,0.56113,2.49465,1.13148,0.000143112,0.000143112,0.000143112
7,27.5358,0.50902,1.33734,1.06712,1,0.22047,0.4975,0.45266,0.53385,2.33383,1.12684,0.00013536,0.00013536,0.00013536
8,31.5733,0.44314,1.05757,1.0646,1,0.21712,0.4975,0.45266,0.51717,2.28282,1.12436,0.000117707,0.000117707,0.000117707
9,35.6568,0.38879,1.02638,1.031,1,0.43961,0.4975,0.45317,0.49165,2.21719,1.12169,9.01514e-05,9.01514e-05,9.01514e-05
10,39.327,0.34161,0.95361,0.9342,1,0.49732,0.4975,0.45317,0.49623,2.1837,1.12091,5.26939e-05,5.26939e-05,5.26939e-05
